"title","text","keyword_role","keyword_tone","source_type","source_url"
"Мінералку роблять з водопровідної води і соди","<p>You Are Here: Home » НАУКА ТА ЗДОРОВ'Я » Мінералку роблять з водопровідної води і соди <strong> Мінералку роблять з водопровідної води і соди </strong> Posted by : admin Posted date : <strong> 23.09.2009 </strong><strong> In НАУКА ТА ЗДОРОВ'Я </strong></p><p><strong> У більшості людей слово «мінералка» не асоціюється з лікуванням, це засіб утамувати спрагу. При цьому в підсвідомості міцно укорінилося, що ця вода корисна. Чим саме, випадковий перехожий відповість навряд чи, — мінералку беруть, погодившись з ціною, торговою маркою, що мелькає в рекламі, або просто тому, що іншої у продавця немає. </strong></p><p> Рідко хто дивиться на етикетку і задається питанням: а що, власне, означає позначена на ній колонка хімічних сполук і показники жорсткості? Тим часом навколо повнісінько фальсифікату, простроченої мінералки, що давно втратила свої властивості. Та і далеко не всяка вода може бути корисна конкретній людині. </p><p><strong> І пустити бульбашки </strong></p><p> Недавно українців грунтовно налякали: санітарні лікарі Харківської області виявили в мінеральній воді відомих марок сторонні речовини і навіть, отруту. Йдеться про нарзан, єсентуки і боржомі — лікувальні мінеральні води, які можна знайти і в аптеках. При цьому в боржомі виявили... миш`як — речовину, яка накопичується в організмі і при регулярному прийомі може привести до великих неприємностей із здоров`ям. Правда, подробиці — а саме: зміст миш`яку, кількість перевіреної мінералки, чи були вилучені партії води, чи були вони дійсно оригіналом або підробкою — широкій публіці залишилися невідомі. Питання якості фасованої води обіцяють найближчим часом поставити перед депутатами ВР України, щоб вони подумали, як можна захистити народ від потенційно небезпечної продукції. </p><p> Офіційний імпорт фасованої мінералки до України, за даними держкомітету статистики, склав більш як 13 млн літрів за шість місяців цього року, при цьому безумовним лідером по кількості імпорту була Грузія — приблизно 11 млн л мінеральної води привезли звідти. Росія поставила в нашу країну 1,2 млн л мінералки, ще скромніші об`єми припали на частку європейських країн (0,77 млн л), Вірменії і Молдови (по 37 тис. л). </p><p> Втім, конкуренцію імпортній і вітчизняній мінералці складають виробники фальсифікату. Рідше підроблюють продукцію відомих і популярних марок, частіше просто штампують власні етикетки з ніде не зареєстрованими назвами. Рецепти виготовлення «мінеральної води» елементарні: пачка харчової соди на ванну водопровідної води, потім пропустити через апарат, що насичує її вуглекислим газом. Неважко підрахувати, що собівартість літра такої «мінералки», якщо куб (тисяча літрів) води обходиться в 3,5 — 4 грн., пачка соди в 1,2 грн. плюс витрати на етикетки, тару і парочку працівників, приблизно 30 — 50 коп. А уроздріб літр води коштує 3 — 4 грн., якщо не більше. Найчастіше підроблюють негазовану воду — витрат менше. </p><p><strong> Вся таблиця Менделєєва </strong></p><p> Жителям автономії частіше доводиться зустрічати на прилавках воду з різних куточків України. А тим часом Крим дуже багатий мінеральними водами: за даними казенного підприємства «Південекогеоцентр», за станом на 2009 р. розвідано 7 родовищ. Це тільки ті, що були обстежені, фахівці оцінили їх запаси і дали свої рекомендації з експлуатації. А загальна кількість відомих родовищ — більш півсотні, з яких 23 відповідають прийнятим в Україні стандартам якості і умовам видобутку. Загальні ж ресурси кримських мінеральних вод досягають сотень тисяч кубометрів на добу, минулого року на 5 кримських родовищах їх видобували близько 677 кубометрів на добу. </p><p> Склад мінеральних вод Криму досліджували фахівці Сакської гідрогеологічної режимно-експлуатаційної станції, виділивши декілька груп мінеральних вод по наявності тих або інших речовин і по ступеню мінералізації, тобто сухого залишку в кожному літрі води. Наприклад, в передгірному і гірському Криму є азотно-сульфатні води з невисокою мінералізацією — ті, що можна віднести до столових. На сході півострова зустрічаються азотні хлоридно-сульфатні води, а в степовій зоні Криму азотні, азотно-метанові, гідрокарбонатно-хлоридні натрієві. </p><p> Не варто лякатися такої великої кількості хімічних назв — в кожному виді мінеральних вод поєднання солей якраз таке, як необхідно для лікування деяких захворювань або для щоденного споживання. Є ще води, де вміст якого-небудь одного компоненту явно виражений, у них зазвичай дуже високий ступінь мінералізації, і застосовувати їх варто тільки як лікувальні. Це, наприклад, вуглекислі води, які зустрічаються тільки на Керченському півострові, — там дуже багато брому, йоду, вільної вуглекислоти. У цьому ж регіоні відомі сульфідні води, що містять сірку (близько півтора десятка свердловин). </p><p> Велика кількість мінеральних джерел в Криму для його жителів не завжди обертається світлою стороною. У селах, де немає централізованої подачі води, люди вимушені користуватися джерелами, колодязями (деколи вони навіть самовільно розкривають затампоновані свердловини), в яких вода відрізняється високим ступенем мінералізації. І вимушене споживання мінералки у великих кількостях даремно не проходить — серед пацієнтів лікарів-урологів достатньо багато селян, які страждають від хвороб нирок. </p><p><strong> Не все корисно </strong></p><p> У просторіччі мінералкою називають будь-яку фасовану воду. Насправді існують води лікувальні — ті, що застосовуються тільки за призначенням лікаря і строго певний час; лікувально-столові — допускається їх вживання час від часу як звичайної води; природно-столові — це чисті води з добрим смаком і збалансованим комплексом мінеральних речовин, які можна вживати без обмеження. Лікувальні води знайти можна в аптеках, а на їх етикетках указується, яких обмежень при споживанні слід дотримуватися. </p><p> Найкраща мінеральна вода навіть нашкодить, якщо пити її, як багато хто любить робити, про запас, «про всяк випадок». Так, гідрокарбонатні води типу боржомі прописують тим, хто страждає підвищеною кислотністю шлунку, порушенням функцій печінки і жовчних проток. Мінералку хлоридну («Трускавецька», «Моршинська» та інші) застосовують при цілому спектрі захворювань кишечника і печінки, а сульфатна («Слов`янська», нарзан) виявляється ефективною, якщо потрібно, наприклад, уповільнити секрецію соляної кислоти шлунку. </p><p> Тим, кому не вистачає кальцію, калію, натрію, медики рекомендують мінеральну воду з підвищеним вмістом цих елементів. Є води, що містять крихітну дозу речовин (мікроелементи), які організм повинен одержувати обов`язково, серед них є навіть важкі метали (кобальт, мідь, марганець). Загалом, кожному пацієнтові своя пляшка з мінералкою, причому тільки після консультації з лікарем. </p><p> Ряд мінеральних вод мають природну насиченість вуглекислотою, а популярні столові води її одержують після спеціальної обробки. Тому важливо, з газом або без газу вибрати мінералку на кожен день: пара склянок газованої води в тиждень шкоди не принесе, а ось більша кількість впливає на травну систему не в кращий бік. Саме тому негазована вода по популярності вже наздогнала «конкурента з бульбашками». </p><p> 1k.com.ua </p><p><i></i></p> Tags Мінералка","secondary","negative","internetsource","http://www.buchachnews.com/"
"RT @nNJHoWu7SkHdRvH: #МалоТакМало теперь я Боржоми","<p>RT @nNJHoWu7SkHdRvH: #МалоТакМало теперь я Боржоми</p>","object","negative","socialnetworksource","http://twitter.com/"
"На трассе Киев-Одесса загорелся грузовик с «Боржоми»","<strong> 8 декабря на 276 км трассы Киев-Одесса загорелся грузовой автомобиль «Renault Magnum». Об этом сообщили в пресс-службе облуправления ГСЧС. </strong><p> Происшествие произошло около 15:40, в 16:20 пожар полностью потушили. Огонь повредил отсек двигателся и имущество водителя. Пожарным удалось спасти прицеп автомобиля, который был загружен минералкой «Боржоми». </p><p> Вероятная причина пожара, говорят в ГСЧС, — короткое замыкание электропроводки в двигателе автомобиля. </p> Сегодня, 10:41","subject","negative","internetsource","http://topnews.odessa.ua/"
"На трассе Киев - Одесса горел грузовик, перевозивший минеральную воду","<p> Спасатели ликвидировали возгорание грузовика в Савранском районе Одесской области. Об этом сообщает отдел связей со СМИ и работы с общественностью Главного управления Госслужбы по чрезвычайным ситуациям Украины в Одесской области. </p><p> 8 декабря в 15.40 в Службу спасения """"101"""" поступило сообщение, что на 276 км трассы Киев - Одесса загорелся грузовой автомобиль """"Renault Magnum"""" с автоприцепом. </p><p> Прибывшие на место происшествия пожарно-спасательные подразделения в 16.20 полностью ликвидировали огонь и спасли прицеп, который был загружен минеральной водой """"Боржоми"""". </p><p> В результате пожара поврежден отсек двигателя и имущество водителя на общей площади 6 кв.м. </p><p> Вероятной причиной возгорания считается короткое замыкание электропроводки в двигателе автомобиля. </p><p> К ликвидации пожара привлекалось 2 единицы основной пожарной техники и 6 человек личного состава. </p> Сегодня, 10:40","subject","negative","internetsource","http://topnews.odessa.ua/"
"В Одесской области горел грузовик","<p> Вчера, 8 декабря, в 15:40, спасателям сообщили о том, что на 276 км автодороги Киев-Одессы загорелся грузовик. </p><p> Об этом « Одесскому паблику » сообщили в пресс-службе Главного управления ГСЧС Украины в Одесской области. </p><p> Прибывшие на место происшествия спасатели установили, что горит грузовик «Renault» с автоприцепом. Уже в 16:13 пожар локализовали, а в 16:20 полностью ликвидировали. </p><p> В результате происшествия огонь повредил отсек двигателя и имущество водителя на общей площади 6 кв. м. В то же время был спасен прицеп авто с минеральной водой «Боржоми». </p><p> Вероятной причиной возгорания стало короткое замыкание электропроводки в двигателе машины. </p> 0 комментариев Пожар","subject","negative","internetsource","http://odpublic.net/"
"На трассе Киев-Одесса загорелся грузовик с «Боржоми»","<p> 8 декабря на 276 км трассы Киев-Одесса загорелся грузовой автомобиль «Renault Magnum». Об этом сообщили в пресс-службе облуправления ГСЧС. </p><p> Происшествие произошло около 15:40, в 16:20 пожар полностью потушили. Огонь повредил отсек двигателся и имущество водителя. Пожарным удалось спасти прицеп автомобиля, который был загружен минералкой «Боржоми». </p><p> Вероятная причина пожара, говорят в ГСЧС, — короткое замыкание электропроводки в двигателе автомобиля. </p>","subject","negative","internetsource","http://odessa.web2ua.com/"
"На трассе Киев - Одесса горел грузовик, перевозивший минеральную воду","<p> Спасатели ликвидировали возгорание грузовика в Савранском районе Одесской области. Об этом сообщает отдел связей со СМИ и работы с общественностью Главного управления Госслужбы по чрезвычайным ситуациям Украины в Одесской области. </p><p></p><p> 8 декабря в 15.40 в Службу спасения """"101"""" поступило сообщение, что на 276 км трассы Киев - Одесса загорелся грузовой автомобиль """"Renault Magnum"""" с автоприцепом. </p><p></p><p> Прибывшие на место происшествия пожарно-спасательные подразделения в 16.20 полностью ликвидировали огонь и спасли прицеп, который был загружен минеральной водой """"Боржоми"""". </p><p></p><p> В результате пожара поврежден отсек двигателя и имущество водителя на общей площади 6 кв.м. </p><p></p><p> Вероятной причиной возгорания считается короткое замыкание электропроводки в двигателе автомобиля. </p><p></p><p> К ликвидации пожара привлекалось 2 единицы основной пожарной техники и 6 человек личного состава. </p>","subject","negative","internetsource","http://trassae95.com/"
"На трассе Киев-Одесса загорелся грузовик с водой","<p> Грузовой автомобиль «Renault Magnum»загорелся8 декабря на 276 км трассы Киев-Одесса </p><p> Об этом сообщили в пресс-службе облуправления ГСЧС. </p><p> Происшествие произошло около 15:40, в 16:20 пожар полностью потушили. Огонь повредил отсек двигателся и имущество водителя. Пожарным удалось спасти прицеп автомобиля, который был загружен минералкой «Боржоми». </p><p> Вероятная причина пожара, говорят в ГСЧС, — короткое замыкание электропроводки в двигателе автомобиля. </p><p></p><p></p><b> ЧИТАЙТЕ ТАКЖЕ <i></i></b> """"&gt; <b> В Южном сгорели два магазина <i></i> =ICON_VIEW?&gt; </b> """"&gt; <b> Город поможет выжившим в страшном пожаре одесситам <i></i> =ICON_VIEW?&gt; </b> """"&gt; <b> Сумма ущерба от пожаров в Одесской области за неделю превысила 5 млн гривен <i></i> =ICON_VIEW?&gt; </b> """"&gt; <b> В Одесской области в ДТП погибли известный украинский композитор и ее муж <i></i> =ICON_VIEW?&gt; </b>","subject","negative","internetsource","https://comments.ua/"
"На трассе Одесса-Киев пылала фура","<p> Грузовой автомобиль загорелся сегодня, 8 декабря, на трассе «Одесса-Киев». <br/></p><p> Как сообщают очевидцы, объятая пламенем фура находится в районе поворота на райцентр Саврань, возле села Красненькое. Подробности выясняются. </p><p> Прицеп автомобиля, загруженный минеральной водой «Боржоми», не поврежден. Причиной пожара эксперты считают короткое замыкание электропроводки в двигателе автомобиля. </p><p> На Среднефонтанской горит ночной клуб """"Огни"""" (видео) <br/></p>","subject","negative","internetsource","http://odessa.net/"
"В Одесской области горел грузовик с водой","<p>На автодороге Киев-Одесса произошло возгорание грузового автомобиля «Рено-Магнум», в прицепе которого была минеральная вода «Боржоми». Об этом сообщает пресс-служба ГУ ГСЧС Украины в Одесской области, передает Репортер.... &gt;&gt;&gt; </p>","subject","negative","internetsource","http://newsper.net/"
