"title","text","keyword_role","keyword_tone","source_type","source_url"
"Досі не знаєте, що ж подарувати найкращій подрузі? Склали добірку ідей для новорічних подарунків! ❤ ❄Парфумована вода","<p>Watsons Україна баллы не насчитывались 24 дня, последний раз было начисление 6.12, должно было начислить 2400 баллов а начислилось только 600, почему так, ведь все мои отзывы опубликованы?</p>","object","negative","socialnetworksource","http://facebook.com/"
"Один день, до Нового року всього один день! Створи завтра святковий макіяж з палеткою від Max Factor. 💝 І ти готова до","<p>Уважаемый Watsons Україна, а почему за отзывы пришло на карточку кол-во баллов меньше, чем за одну неделю, хотя начислений не было уже больше двух недель?</p>","object","negative","socialnetworksource","http://facebook.com/"
"Досі не знаєте, що ж подарувати найкращій подрузі? Склали добірку ідей для новорічних подарунків! ❤ ❄Парфумована вода","<p>Watsons Україна мені теж не нарахували бали у повному об""""ємі нарахували лише 600 баллів, не вистачає 1900, останнє нарахування було 6-го грудня, а зараз 30-те.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Один день, до Нового року всього один день! Створи завтра святковий макіяж з палеткою від Max Factor. 💝 І ти готова до","<p>Добрий день, Watsons Україна мені не нараховували бали 3 з половиною неділі, нарахували сьогодні, але мало лише 600 замість 2500. Всі мої відгуки за цей період(по одному в день) були опублікованію</p>","object","negative","socialnetworksource","http://facebook.com/"
"Досі не знаєте, що ж подарувати найкращій подрузі? Склали добірку ідей для новорічних подарунків! ❤ ❄Парфумована вода","<p>Watsons Україна мені теж не нарахували бали у повному об""""ємі нарахували лише 600 баллів, не вистачає 1800, останнє нарахування було 6-го грудня, а зараз  30-те.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Один день, до Нового року всього один день! Створи завтра святковий макіяж з палеткою від Max Factor. 💝 І ти готова до","<p>Watsons Україна  І мені також нарахували мало балів,давно на них очікую,але отримала 600.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Терміново в номер! Тільки що дізналися, що чекаємо у Watsons Україна ексклюзивну колекцію від Rimmel London US та","<p>Месяц назад обещали начислить баллы за предыдущих два месяца!! Ваш """"Фахывець Ватсонс"""" ничего не отвечает!!!!</p>","object","negative","socialnetworksource","http://facebook.com/"
"Один день, до Нового року всього один день! Створи завтра святковий макіяж з палеткою від Max Factor. 💝 І ти готова до","<p>Watsons Україна неужели за 3 недели написания отзывов я заработала всего лишь 600 баллов???</p>","object","negative","socialnetworksource","http://facebook.com/"
"Досі не знаєте, що ж подарувати найкращій подрузі? Склали добірку ідей для новорічних подарунків! ❤ ❄Парфумована вода","<p>Watsons Україна уже почти 3 недели не насчитываются баллы за отзывы на сайте, скажите пожалуйста когда их насчитают на карточку?</p>","object","negative","socialnetworksource","http://facebook.com/"
"Цієї суботи відбулась фотозйомка переможниці акції """"Стань зіркою Wellaflex у Watsons"""". Ще раз вітаємо Yana Shyyka з","<p>Watsons Україна Вы бы не могли подсказать информацию: сколько же вам надо времени на уточнение информации. Давая такие ответы как выше, на что вы рассчитываете- что покупатель""""забудет"""" о промо-коде или просто игнорируете, надеясь что срок действия промо-кода закончится? Так зачем предлагать акцию, а потом менять условия, продлевать сроки. Впрочем, я выводы, как и многие уже сделала- ваш сервис стал ужасен и обращаться ваш интернет-магазин нет никакого желания. И в заключении, убедительно прошу выслать промо-код по заказу № 01019155.</p>","object","negative","socialnetworksource","http://facebook.com/"
"Неякісні шкарпетки заборонили продавати на Тернопільщині - ГОЛОС || почути правду! Фахівці обласного управління","<p>http://www.golos.te.ua/neyakisni-shkarpetky-zaboronyly-prodavaty-na-ternopilschyni/
Неякісні шкарпетки заборонили продавати на Тернопільщині - ГОЛОС || почути правду!
Фахівці обласного управління Держпродспоживслужби заборонили до продажу шкарпетки, які не відповідають стандартам. Так, для експертизи у магазині «Watsons» ТОВ «ДЦ ...</p>","object","negative","socialnetworksource","http://facebook.com/"
"Watsons Україна у вас завДЖи так?","<p>Watsons Україна у вас завДЖи так?</p>","object","negative","socialnetworksource","http://facebook.com/"
"Працівники Тернопільського відділу поліції просять допомогти встановити невідому особу, яку підозрюють у крадіжці з","<p>Працівники Тернопільського відділу поліції просять допомогти встановити невідому особу, яку підозрюють у крадіжці з магазину «Watsons» на площі Героїв Євромайдану. #тернопіль, #новини_тернополя, #новини_тернопільщини, #тернопільські_новини, #крадіжка, #розшук, #магазин
Як у Тернополі злодії винесли з відомого магазину 19 тисяч гривень (Відео)
Працівники Тернопільського відділу поліції просять допомогти встановити невідому особу, яку підозрюють у крадіжці з магазину «Watsons» на площі Героїв ...
http://www.tenews.org.ua/post/view/1515183203-yak-u-ternopoli-zlodii-vinesli-z-vidomogo-magazinu-19-tisyach-griven-video</p>","object","negative","socialnetworksource","http://facebook.com/"
