"title","text","keyword_role","keyword_tone","source_type","source_url"
"Причастен ли Владимир Гройсман к коррупции в Укравтодоре?","<p><strong></strong></p><p> Коррупционные схемы в Укравтодоре не были бы такими брутальными, если бы их не поддерживали на самом высоком уровне – правительственном и парламентском. Вполне возможно, что лично Владимир Гройсман не имеет отношения к дорожной коррупции. Но глава правительства пытается капитализировать политический имидж на теме ремонта и реконструкции дорог. И из-за этого его премьерской позиции не хватает ясности и определенности. Ведь его полномочий достаточно, чтобы поставить антикоррупционный заслон в Укравтодоре, обеспечив законность, прозрачность и эффективность ведомства. Об этом идет речь в расследовании « Владимир Гройсман, банкротcтво АЛЬТКОМ и украденные кредиты ЕБРР». </p><p> Чтобы отстраниться от теневых схем в автодорожной сфере, Гройсману достаточно реализовать набор определенных решений. Он должен пресечь массовые системные коррупционные схемы и злоупотребления в отрасли, отправив в утиль коррупционных «авторитетов» из прошлого. Необходимо очистить рынок от компаний, которые выкачивали из страны ресурс последние 10 лет. Важно также разобраться с потенциальными банкротами, которые не в состоянии выполнять взятые на себя обязательства. И в данном случае – начать с ООО «Дорожное строительство «АЛЬТКОМ», которое пребывает в ожидании банкротства, накопив перед государством и подрядчиками миллиардные долги. </p><p> Ни для кого на рынке не секрет, что многие компании, с которыми Укравтодор за последние годы подписывал контракты, не имели организационных и технических возможностей качественно и вовремя выполнить обязательства. Более того, они и не рассчитывали их реализовывать, поскольку речь шла об «освоении» бюджета, а не о постройке дорог. И таким образом важнейшие для страны тендеры выигрывали банкроты со статусом «рога и копыта». Но при этом подобные компании получили значительную часть предусмотренного на работы финансирования, в том числе за счет международных кредитов. Хотя значительные объемы работ оказались невыполненными и, вполне возможно, никогда не будут выполнены полностью. </p><p> Таким образом огромные деньги украинских граждан и наших международных партнеров с подачи уполномоченного государством ведомства – Укравтодора, оказались у недобросовестных исполнителей. В настоящее время трудно определить объемы утраченных для страны финансов. Но потери общества измеряются не только в украденных миллиардах. Это и дорожные происшествия на разбитых дорогах страны, и тысячи жизней, и сотни километров дорог, которые останутся аварийными, несмотря на оплату государством их ремонта. Поэтому чем раньше государство, в лице премьер-министра, в чьем ведомстве пребывает Укравтодор, обратит внимание на коррупцию в ведомстве, тем скорее удастся защитить интересы общества и государства от дорожной мафии. </p><p> Серьезные международные игроки ждут появления в Украине конкурентного прозрачного рынка, с защитой инвестиций и равными правами для всех участников государственных тендеров. Сегодня такие компании не спешат выходить на наш рынок, справедливо опасаясь разгула коррупции. </p> Яркие новости в телеграмм прямо сейчас. <i></i> Подпишись!","object","negative","internetsource","http://izvestia.kiev.ua/"
"Журналисты выясняли, причастен ли Гройсман к коррупции в Укравтодоре","<p> Авторы расследования пытались определить, что может помочь реформированию системы Укравтодора </p><p> Коррупционные схемы в Укравтодоре не были бы такими брутальными, если бы не имели поддержки на самом высоком уровне – правительственном и парламентском. Не исключено, что лично премьер Владимир Гройсман не имеет отношения к дорожной коррупции. Но глава Кабмина использовать тему реконструкции и ремонта дорог, чтобы капитализировать свой политический имидж. И это лишает его премьерскую позицию ясности и определенности. Ведь его полномочий вполне достаточно, чтобы поставить антикоррупционный заслон в Укравтодоре и обеспечить законность, прозрачность и эффективность ведомства. Об этом идет речь в расследовании «Владимир Гройсман, банкротcтво АЛЬТКОМ и украденные кредиты ЕБРР». </p><p> Реализованный Гройсманом набор определенных решений вполне мог бы помочь ему отстраниться от теневых схем в автодорожной сфере. Премьер-министр должен пресечь массовые системные коррупционные схемы и злоупотребления в отрасли, отправив в утиль коррупционных «авторитетов» из прошлого. Также, по мнению авторов расследовани, необходимо очистить рынок от компаний, которые выкачивали из страны ресурс последние 10 лет. Важно также разобраться с потенциальными банкротами, которые не в состоянии выполнять взятые на себя обязательства. </p><p> Авторы статьи считают, что в данном случае следует начать с ООО «Дорожное строительство «АЛЬТКОМ», которое пребывает в ожидании банкротства, накопив перед государством и подрядчиками миллиардные долги. </p><p> Уже давно перестало быть секретом то, что многие компании, с которыми Укравтодор за последние годы подписывал контракты, не имели организационных и технических возможностей качественно и вовремя выполнить обязательства. Но в общем-то этого и не требовалось, ведь речь шла об «освоении» бюджета, а не о постройке дорог. Подобное положение дел приводило к тому, что  важнейшие для страны тендеры выигрывали банкроты со статусом «рога и копыта». Но при этом подобные компании получили значительную часть предусмотренного на работы финансирования, в том числе за счет международных кредитов. Хотя значительные объемы работ оказались невыполненными и не исключено, что никогда не будут выполнены полностью. </p><p> Таким образом,  огромные деньги украинских граждан и наших международных партнеров с подачи уполномоченного государством ведомства – Укравтодора, оказались у недобросовестных исполнителей. Сейчас довольно трудно определить объемы утраченных для страны финансов. Но потери общества измеряются не только в украденных миллиардах. Следствием такого отношения к украинским дорогам стали и дорожные происшествия на разбитых трассах, и тысячи жизней, и сотни километров дорог, которые останутся аварийными, несмотря на оплату государством их ремонта. Авторы расследования подчеркивают, что чем раньше государство, в лице премьер-министра, в чьем ведомстве пребывает Укравтодор, обратит внимание на коррупцию в ведомстве, тем скорее удастся защитить интересы общества и государства от дорожной мафии. </p><p> Появления в Украине конкурентного и прозрачного рынка с защитой ивестиций и равными правами для всех участников государственных тендеров ждут серьезные международные игроки, которые пока не спешат выходить на наш рынок, справедливо опасаясь разгула коррупции. </p>","object","negative","internetsource","https://comments.ua/"
"Журналисты выясняли, причастен ли Гройсман к коррупции в Укравтодоре","<p> Коррупционные схемы в Укравтодоре не были бы такими брутальными, если бы не имели поддержки на самом высоком уровне – правительственном и парламентском. Не исключено, что лично премьер Владимир Гройсман не имеет отношения к дорожной коррупции. Но глава Кабмина использовать тему реконструкции и ремонта дорог, чтобы капитализировать свой политический имидж. И это лишает его премьерскую позицию ясности и определенности. Ведь его полномочий вполне достаточно, чтобы поставить антикоррупционный заслон в Укравтодоре и обеспечить законность, прозрачность и эффективность ведомства. </p><p> Об этом идет речь в расследовании «Владимир Гройсман, банкротcтво АЛЬТКОМ и украденные кредиты ЕБРР», передают Комментарии . </p><p> Реализованный Гройсманом набор определенных решений вполне мог бы помочь ему отстраниться от теневых схем в автодорожной сфере. Премьер-министр должен пресечь массовые системные коррупционные схемы и злоупотребления в отрасли, отправив в утиль коррупционных «авторитетов» из прошлого. Также, по мнению авторов расследовани, необходимо очистить рынок от компаний, которые выкачивали из страны ресурс последние 10 лет. Важно также разобраться с потенциальными банкротами, которые не в состоянии выполнять взятые на себя обязательства. </p><p> Авторы статьи считают, что в данном случае следует начать с ООО «Дорожное строительство «АЛЬТКОМ», которое пребывает в ожидании банкротства, накопив перед государством и подрядчиками миллиардные долги. </p><p> Уже давно перестало быть секретом то, что многие компании, с которыми Укравтодор за последние годы подписывал контракты, не имели организационных и технических возможностей качественно и вовремя выполнить обязательства. Но в общем-то этого и не требовалось, ведь речь шла об «освоении» бюджета, а не о постройке дорог. Подобное положение дел приводило к тому, что  важнейшие для страны тендеры выигрывали банкроты со статусом «рога и копыта». Но при этом подобные компании получили значительную часть предусмотренного на работы финансирования, в том числе за счет международных кредитов. Хотя значительные объемы работ оказались невыполненными и не исключено, что никогда не будут выполнены полностью. </p><p> Таким образом,  огромные деньги украинских граждан и наших международных партнеров с подачи уполномоченного государством ведомства – Укравтодора, оказались у недобросовестных исполнителей. Сейчас довольно трудно определить объемы утраченных для страны финансов. Но потери общества измеряются не только в украденных миллиардах. Следствием такого отношения к украинским дорогам стали и дорожные происшествия на разбитых трассах, и тысячи жизней, и сотни километров дорог, которые останутся аварийными, несмотря на оплату государством их ремонта. Авторы расследования подчеркивают, что чем раньше государство, в лице премьер-министра, в чьем ведомстве пребывает Укравтодор, обратит внимание на коррупцию в ведомстве, тем скорее удастся защитить интересы общества и государства от дорожной мафии. </p><p> Появления в Украине конкурентного и прозрачного рынка с защитой ивестиций и равными правами для всех участников государственных тендеров ждут серьезные международные игроки, которые пока не спешат выходить на наш рынок, справедливо опасаясь разгула коррупции. </p>","object","negative","internetsource","http://podrobnosti.mk.ua/"
"ЕБРР прекращает финансирование дорожных проектов из-за коррупции в Укравтодоре и АЛЬТКОМ","<p><strong></strong><strong></strong></p><p> Главный автодорожный монополист последних 10 лет – ООО «Дорожное строительство АЛЬТКОМ» - находился в фаворе при разных режимах и правительствах. Лишь в 2011 году годовой оборот компании составил более 500 млн долларов США. Правда, в течение нескольких месяцев после завершения Революции Достоинства, пока в Укравтодор не пришел поляк Славомир Новак, эта компания ощущала определенные проблемы. После же назначения польского специалиста АЛЬТКОМ снова начал получать заказы. Эксперты рынка уверенны, что так случилось после того, как влиятельный нардеп Игорь Кононенко взял под патронат Укравтодор и АЛЬТКОМ. Об этом идет речь в расследовании « Владимир Гройсман, банкротcтво АЛЬТКОМ и украденные кредиты ЕБРР». </p><p> Журналист указывает, что польский «реформатор» мало влияет на деятельность предприятия, увлекшись мельканием в телевизоре и постах ФБ. Глава Укравтодора Славомир Новак фактически проводит на рабочем месте три дня в неделю. Остальные дни и часы Новак находится в Польше или в дороге между Варшавой и Киевом. При этом Новак не стесняется получать от украинского правительства высокую зарплату со стимулирующими выплатами – до 300% оклада. В таких условиях ведомство становится доступным для «бактерий коррупционной инфекции», и это используют разного рода «смотрящие». </p><p> Ситуация, связанная с АЛЬТКОМ, демонстрирует угрожающий уровень коррупции в автодорожной отрасли последних десяти лет. Лишь за крайние шесть-семь лет компания подписала в Украине контрактов на десятки миллиардов грн. Самый неоднозначный контракт – на капитальный ремонт автодороги Киев-Одеса. АЛЬТКОМ должен был завершить его еще в 2014 году. Его трижды продлевали. Но все равно объем произведенных работ не превышает 46-47%. При этом задолженность АЛЬТКОМА перед субподрядчиками составляет более 60% от выполненных работ. Из-за неудовлетворительных показателей Укравтодор должен решать вопросы с кредиторами - ЕБРР и ЕИБ, которые финансировали указанные работы. При этом в данных международных банках настаивают на разрыве договорных отношений с ООО АЛЬТКОМ и уже приостановили финансирование других проектов в автодорожном хозяйстве Украины. </p><p> Министр инфраструктуры В.Омелян еще год назад публично подчеркивал, что в АЛЬТКОМЕ должны произвести ремонт трассы Киев-Одесса до конца 2016 года. «Мы договорились, что 2016-й – крайний год их ремонта на этих участках трассы. Дальше продлевать проект мы не будем. Единственным позитивным для них сценарием вижу окончание ремонтных работ на участках, на которых они должны были быть закончены еще два года назад», - подчеркнул Омелян. Сегодня – уже середина 2017-го, а трасса «Киев-Одесса» все еще в руинах… </p>","subject","negative","internetsource","http://versii.com/"
"Банкротство ООО """"АЛЬТКОМ"""" обрушит автодорожный рынок в Украине","<p> Райффайзен Банк """"Аваль"""" подал соответствующий иск в хозсуд Донеччины. В июле могут ввести процедуру распоряжения имуществом АЛЬТКОМА. Райффайзен требует от компании и связанных с ней предприятий около 300 млн гривен. </p><p> Долг АЛЬТКОМА перед ПУМБ – 17,4 млн грн. При этом большая часть выданных кредитов – явно безнадежные. Почти все юридические лица-должники в настоящее время прописаны в оккупированном Донецке. Об этом идет речь в расследовании """"Владимир Гройсман, банкротcтво АЛЬТКОМ и украденные кредиты ЕБРР"""". </p><p> Наиболее угрожающая для АЛЬТКОМА, а значит и """"влитых"""" в него бюджетных и кредитных средств, ситуация сложилась в ходе судебных тяжб компании с Проминвестбанком. Донецкий апелляционный хозяйственный суд обязал АЛЬТКОМ выплатить банку 466,4 млн гривен за четыре года. В рамках рассрочки компания должна ежемесячно выплачивать 9,72 млн гривен. Общий же объем судебных требований Проминвестбанка к структурам, связанным с этой компанией, превышает 10 млрд гривен. </p><p> В случае удовлетворения судом этих требований в полном объеме АЛЬТКОМ объявят банкротом. Ведь его доходы и активы не позволят удовлетворить даже требования Райффайзен Банка. И тогда государство в лице Укравтодора, являющегося гарантом привлеченных международных кредитов, потеряет миллиарды гривен. Кроме того, будет заблокировано дорожное строительство на ряде ключевых направлений. АЛЬТКОМ явно не обладает достаточными финансовыми, кадровыми и техническими ресурсами для выполнения взятых на себя объемов работ и подписанных контрактов. </p><p> Удивительно, что в Укравтодоре, определяя победителя тендеров, не учли тот факт, что больше 80% материально-технической базы предприятия, в первую очередь строительная техника, пребывает под ограничениями Государственной исполнительной службы. С января до июня 2017-го проведено больше 400 судебных заседаний в делах против ООО """"ДС АЛЬТКОМ"""", по которым приняты решения, обязывающие вернуть кредиторам практически всю строительную технику, оплатить сборы, налоги и обязательства по кредитам, а также – возмещения другим предприятиям. </p><p> Наиболее интересный вопрос состоит в том, каким образом фактический банкрот умудряется выигрывать все новые и новые контракты. Только в текущем году АЛЬТКОМ выиграл тендеры на строительство путепровода и транспортной развязки при реконструкции автодороги Р-52 Днепр-Царичанка-Кобеляки-Решетиловка, строительство автодороги Мариуполь-Урзуф, ремонт участков автодорог Р-60 Кролевец-Конотоп-Ромни-Пирятин, Р-42 Лубны-Миргород-Опишня, Р-67 Чернигов-Нежин-Прилуки-Пирятин, Т-17-14 Чернухи-Лубны и другие. К примеру, только от Службы автомобильных дорог Полтавской области АЛЬТКОМОМ получены контракты на 1,2 млрд гривен. </p>","object","negative","internetsource","http://ura-inform.com/"
"Украина откажется от угля антрацитовой группы до конца 2019 года, - Насалик (7 новостей)","<p> Министр энергетики и угольной промышленности <strong> Игорь Насалик </strong> рассчитывает, что Украина до конца 2019 откажется от угля антрацитовой группы. </p><p> Об этом он сказал во время встречи с экспертами реформы Энергетического сектора РПР, сообщает Правительственный портал. </p><p> «Минэнергоугля имеет четкий график перевода энергоблоков на газовую группу угля и контролирует его соблюдение, что позволит до конца 2018 заместить порядка 6 млн тонн антрацита, а до конца 2019 отказаться от угля антрацитовой группы», — заявил Насалик. </p><p> Говоря о нынешних мероприятиях с целью перевода котлоагрегатов из антрацитового на газовый уголь, министр отметил, что, в частности, для замещения дефицитного антрацитового угля с 2016 года реализуется пилотный проект перевода энергоблоков № 2 и № 5 Змиевской ТЭС ПАО «Центрэнерго» на газовую группу угля. </p> ЕБРР ухудшил прогноз роста экономики Украины на текущий год <p> В мае текущего года энергоблок № 2 включен в сеть для выполнения пусконаладочных работ, реконструкция энергоблока № 5 продолжается. </p><p> «Наша задача — не диверсифицировать поставки антрацита, а осуществить его замещение», — отметил Насалик. </p><ul><li> ЧИТАЙТЕ ТАКЖЕ: Пограничники Харьковщины разоблачили канал продажи людей в сексуальное рабство, - Слободян </li></ul><p> При этом министр заявил о необходимости увеличения использования собственной сырьевой базы. По его словам, амбициозные цели по увеличению собственной добычи на 10 млн тонн позволят полностью отказаться от импорта и обеспечить тепловую генерацию отечественным углем. </p><p> «Реальный сектор, который может обеспечить дополнительный объем добычи угля — это государственные шахты», — убежден министр. </p><p> Для этого, по его мнению, имеется потенциал и возможности при условии надлежащего финансирования мероприятий по модернизации угольной отрасли. </p><p> Также министр сообщил, что выделенные в этом году средства в сумме 300 млн грн позволили запустить новые лавы, суммарная добыча из которых составляет порядка 5 тыс. тонн угля в сутки. </p><p> Из 24 миллионов тонн угля, которые украинская энергетика потребляет в год, более 9 миллионов — уголь антрацитовой группы, и все залежи его остались на неподконтрольной части Донбасса. </p><p> Ранее министр энергетики и угольной промышленности Игорь Насалик заявлял, что годовая потребность Украины в антраците составляет 9,5 миллиона тонн, а потребность в импорте этого угля — 4,2 миллиона тонн до конца 2017 года. </p>","object","negative","internetsource","http://gottstat.com/"
"О чем молчит Андрей Сидорчук, хвастаясь успехами «Лугцентрокуза»","<p> Как Андрей Сидорчук из Киева смог захватить и обанкротить завод в Луганске </p><p> В середине июля некоторые украинские сайты один за одним опубликовали новость под заглавием «Андрей Сидорчук: «Лугцентрокуз имени С.С. Монятовского» обновляет оборудование и проводит испытания производственных линий». И это при том, что упомянутое предприятие физически расположено в оккупированном Луганске и платит налоги в «бюджет ЛНР». </p><p> На самом деле то, что произошло с этим предприятием, довольно показательно. Завод «Лугцентрокуз им. С.С. Монятовского» производит и продает колесные пары, валы и другую продукцию для железнодорожного транспорта с 1992 г. До войны с Россией, в 2013 г., на заводе работало более 1000 человек, а объем производства в то время составлял почти 600 млн грн. Продукцию предприятия экспортировали в более чем 70 стран мира. В 2014 г. завод перестал платить налоги в украинский бюджет. Но работать – не перестал. </p><p> Известно, что с начала российской оккупации Донбасса в 2014 г. многие украинские собственники заводов на оккупированной территории утратили контроль над ними. В результате оборудование многих предприятий было разворовано и полностью или частично вывезено в Россию. Такая участь постигла, к примеру, Ясиноватский машиностроительный завод, холдинговую компанию «Топаз», Луганский патронный завод, Стахановский завод ферросплавов, Стахановский вагоностроительный завод и др. </p><p> Но некоторые заводы на оккупированной территории продолжили свою работу. Один из них – «Лугцентрокуз». Более того, имеется информация, что завод перешел на круглосуточный график работы. Отгрузка товаров увеличилась практически вдвое. </p><p> Менеджмент завода договорился с местными оккупационными властями о функционировании. Например, «госгорпромнадзор ЛНР» выдал «разрешение на начало работы субъекта хозяйствования в части обеспечения требований законодательства по охране труда и промышленной безопасности». Номер разрешения – 493.16.06. Срок действия – до 22.11.2019. </p><p><strong> Украинский завод хотят сделать российским </strong></p><p> По информации «министерства промышленности и торговли ЛНР», теперь «Лугцентрокуз» поставляет свою продукцию преимущественно в Россию. Но это не потому, что менеджмент завода «удачно» нашел там новые рынки сбыта. Сейчас завод, скорее всего, искусственно банкротят через украинские суды, а после этого за фиктивные долги основные средства «Лугцентрокуза» будут переданы российской компании. </p><p> Основываясь на документации «таможни ЛНР», полученной от инсайдера, журналисты выяснили, что вся продукция луганского завода отправляется в Россию, на ООО «ИРЖТранс» («Инновации ресурсообеспечения железнодорожного транспорта»), занимающееся оптовыми продажами продукции «Лугцентрокуза». Согласно госреестру юрлиц РФ на сайте ГФС РФ, российская компания «ИРЖТранс» принадлежит кипрскому офшору Parima Limited. </p><table><tbody><tr><td></td><td></td></tr></tbody></table><p> В свою очередь, кипрский офшор Parima Limited единолично принадлежит украинцу Артему Захожему. Согласно публичной информации, Артем Захожий – друг детства одного из топ-менеджеров «Лугцентрокуза», а именно – Андрея Сидорчука, они вместе учились в лицее им. Т.Г. Шевченко. Однако сам Артем Захожий работает звукорежиссером на одном из телеканалов, выступая лишь формальным владельцем офшора. Выходит, что оптовыми продажами продукции луганского завода занимается российская компания, которой управляет топ-менеджер «Лугцентрокуза» Андрей Сидорчук. </p><p> Вдобавок оказывается, что «ИРЖТранс» не просто занимается оптовыми продажами продукции луганского завода, но и, согласно госреестру юрлиц РФ, владеет 50% российского ООО «Муромский завод Транспутьмаш, которое занимается обработкой металлов. Таким образом, топ-менеджер луганского завода, который до войны не владел им, а был лишь нанятым сотрудником (с 0,2% подаренных ему акций), имеет все возможности для того, чтобы перевезти заводское оборудование луганского завода на завод «Транспутьмаш» во Владимирской области РФ. </p><table><tbody><tr><td></td><td></td></tr></tbody></table><p><strong> Рассказ подлинных владельцев завода </strong></p><p> 8 июля 2016 г. на внеочередном собрании акционеров ЧАО «Лугцентрокуз им. С.С. Монятовского» единогласным решением Андрей Сидорчук был уволен с должности председателя наблюдательного совета. Был избран новый состав наблюдательного совета и новым председателем стала дочь основателя компании Станислава Монятовского – Мария Монятовская-Бондаренко. </p><p> Вскоре она рассказала о сути «корпоративного конфликта»: «Отвечу сразу – никакого «корпоративного конфликта» нет. Его и не может быть, так как ЧАО «Лугцентрокуз им. С.С. Монятовского» на 99,8% владеет наша семья. Конфликт инициировал Сидорчук Андрей, которого мы в 2007 г. назначили председателем наблюдательного совета, а он за эти годы, очевидно, неправильно понял свою должность и посчитал, что частное акционерное общество с мировым именем моего отца стало его. В 2014 г., после начала военного конфликта на востоке страны и признания города Луганска «оккупированной территорией», мы фактически утратили возможность быть на заводе и контролировать его деятельность. Уехал из Луганска и Сидорчук Андрей, забрав административную часть офиса с собой в Киев. На вопросы и даже официальные запросы собственников о состоянии производства и финансово-хозяйственной деятельности предприятия перестал отвечать. За кредит, полученный в 2011 г. от Европейского банка реконструкции и развития в размере $13 млн, платить перестал, ссылаясь на форс-мажор и «оккупацию территории». </p><p> Описывая схему, придуманную Андреем Сидорчуком, Мария Монятовская-Бондаренко не смогла обойтись без иронии: «Для этого он якобы в прошлом от имени завода занял у своего друга детства Артема Захожего (который честно работает звукорежиссером на каком-то канале) десятки миллионов гривен. А теперь через суд он хочет расплатиться оборудованием завода с ним. Вы смеетесь? А вот судьи Троицкого районного суда Луганской области очень «серьезно» и быстро рассматривали это дело. Слава Богу, мы узнали об этой «афере века» и вмешались наши юристы, помешав друзьям. Но у Сидорчука запал не утих, ведь в России аналогично организованный ним завод ждет оборудования, а офшоры на Кипре (зарегистрированные на того же звукорежиссера) ждут пополнений». </p><p> Рассказала Мария Монятовская-Бондаренко и о дальнейших действиях Андрея Сидорчука. Якобы последний для осуществления своих планов обратился в юридическую компанию «Алексеев, Боярчуков и партнеры». Юристы посоветовали Сидорчуку создать ООО с истого листа. Вскоре была открыта компания «Солиситер» всего с одним сотрудником – он же директор, он же бухгалтер, без каких-либо проводок, с уставным фондом, за который был выкуплен долг у упомянутого контрагента. И теперь это ООО «Солиситер» банкротит «Лугцентрокуз» за долг в 500 тыс. грн. </p><p><strong> Откуда у луганского завода ирпенская прописка </strong></p><p> Вызывает удивление, почему вдруг спор о луганском заводе оказался в юрисдикции фемиды Киевской области. Мария Монятовская-Бондаренко объяснила это тем, что 14 июня 2016 г. юрист «Лугцентрокуза» Ирина Сердюкова без согласования с акционерами завода внесла в Единый государственный реестр предприятий и организаций Украины (ЕГРПОУ) информацию об изменении юридического адреса предприятия. Если ранее оно было зарегистрировано в Северодонецке, то теперь формально переехало в Ирпень, по адресу улица Чехова 14, нежилое помещение №30. При этом никакого офиса или уполномоченных представителей «Лугцентрокуза» по этому адресу нет. С тех пор любые судебные дела в отношении завода перешли в юрисдикцию Хозяйственного суда Киевской области, в чем, по мнению «кинутых» владельцев завода, и заключалась цель незаконного внесения изменений в ЕГРПОУ. Этот суд и принял в июле 2016 г. решение о банкротстве «Лугцентрокуза». При этом судья Нарижный отказался рассматривать какие-либо претензии акционеров предприятия, отмечает Мария Монятовская-Бондаренко. </p><p> По мнению Марии Монятовской-Бондаренко Сидорчук идейно поддерживает Россию и сепаратистов и сразу же после захвата власти в городе вооруженными группировками ЛНР установил с ними дружественные отношения. Чтобы избежать «экспроприации» предприятия боевиками, он, якобы, согласился платить им «налог» и таким образом получил возможность работать. В то же время официально ни в каких структурах ЛНР Сидорчук не зарегистрирован и после начала активных боевых действий покинул Луганск, забрав также и административную часть офиса, которая перебралась в Киев. В Луганске остался генеральный директор Александр Мирошников, который ориентируется на Сидорчука, постоянно находится в городе и руководит деятельностью завода. Мирошников активно сотрудничает с ЛНР и по этой причине не выезжает на территорию, подконтрольную Украине, опасаясь ареста. </p><p> Таким образом, завод в Луганске платит налоги в «бюджет ЛНР», но при этом зарегистрирован в Киевской области. </p><p><strong> Судебная Санта-Барбара </strong></p><p> Несмотря на решение собрания акционеров ЧАО «Лугцентрокуз им. С.С. Монятовского» от 8 июля 2016 г. об увольнении Андрея Сидорчука с должности председателя наблюдательного совета, выяснилось, что «согласно Единому госреестру на сайте Министерства юстиции Украины, Сидорчук до сих пор имеет право представлять предприятие. И началась судебная Санта-Барбара: в июле 2016 г. Хозяйственный суд Киевской области вынес решение о начале процедуры банкротства «Лугцентрокуза», удовлетворив заявление предприятия «Солиситер»; в ноябре 2016 г. Высший хозяйственный суд Украины отменил это решение; в декабре 2016 г. все тот же хозяйственный суд Киевской области с подачи юркомпании «Алексеев, Боярчуков и партнеры» возобновил свое решение. </p><p> При этом правоохранители предпочитают игнорировать захват предприятия. В прокуратуре все дела по «Лугцентрокузу» закрыты. И только следственный отдел управления СБУ в Луганской области проводит досудебное расследование «по факту причастности к финансированию террористической деятельности». Такие дела по факту уплаты налогов властям оккупированных территорий ведутся по целому ряду предприятий в ОРДЛО. И при всей важности данных дел в перспективе, следствие СБУ не остановит процедуру искусственного банкротства «Лугцентрокуза» со всеми ее печальными последствиями. </p><p> Ввиду вышеизложенного, можно допустить, что Топ-менеджер крупнейшего луганского завода Андрей Сидорчук имеет отношение к банкротству предприятия в рамках украинского законодательства, чтобы легально получить на него права собственности и лишить этих прав владельцев завода, которые находятся в Украине. Кроме того, банкротство «Лугцентрокуза» позволит топ-менеджеру размыть около $13 млн кредитных средств ЕБРР. В качестве последнего штриха стоит добавить еще вывод, к которому пришла Мария Монятовская-Бондаренко: «Самое печальное, что фактически помогает рейдерам в этом юридическая компания «Алексеев, Боярчуков и партнеры», принадлежащая народному депутату Украину от Блока Петра Порошенко Сергею Алексееву». </p><p><br/></p>","object","negative","internetsource","https://comments.ua/"
